,id,size
811,137779358,810
812,139766150,661
813,130154642,645
814,139573196,688.9
815,134649608,60041
816,139902170,
817,139539656,638.4
818,137032646,450
819,139794764,625
820,133099994,686
821,139996052,587
822,137732396,678.1
823,139720025,600
824,134487410,612
825,139793828,1063
826,138412769,519
827,137922218,1352
828,139625276,2522
829,139563161,618
830,137679686,496
831,136168256,606
832,139779308,471
833,137721041,458
834,122469548,
835,139823480,1011
836,138085988,762.1
837,139721324,618
838,135630506,389
839,121736777,555
840,139950062,585
841,139611974,1574
842,137922833,423
843,132923849,804
844,139967099,494
845,139560929,052.7
846,131482517,054
847,139560983,1384
848,133117109,143
849,139626998,
850,139888592,915
851,139308971,1108
852,138666872,978
853,135859715,698
854,139689197,708.3
855,137161283,753
856,139857941,485
857,139223864,
858,139794596,1009
859,137055482,792
860,138234503,611
861,139907258,1841
862,139642148,452
863,137673095,1552.59
864,135198323,765
865,139786985,862
866,139593770,1325
867,139902251,1623
868,139600877,063.5
869,137049176,476
870,137716679,658
871,136454303,857.8
872,139906664,549
873,138301388,570
874,139973588,464
875,139746245,538
876,139795598,748
877,136021634,829
878,138826871,644
879,86269044,1270
880,139689221,653
881,138549377,1037
882,139565087,1046
883,137352938,1048
884,136594493,1047
885,139729127,632
886,137457251,781
887,139656509,804
888,137089799,1207
889,132912884,668
890,139942412,349
891,139586495,463
892,139965560,1604
893,132803243,73
894,136925831,614
895,139799480,713.6
896,138770696,710
897,139738385,688
898,137676731,686
899,131312483,
900,139823798,445
901,139536776,
902,138610355,538
903,137859881,678.1
904,138667856,
905,139767167,665.2
906,139560980,1587
907,133292831,
908,139993688,480
909,136170026,675.76
910,134743496,852
911,139962140,
912,133275200,873.0
913,138098027,
914,139921577,1016
915,139871624,440
916,136826825,
917,139995458,1067.6
918,139836443,749
919,139551047,858
920,138342389,1536
921,132489350,664
922,138710204,1545
923,135708824,565
924,139621442,2045.0
925,139866956,1149
926,138105071,7
927,86225682,577
928,139951550,647
929,139875794,709
930,139895666,503
931,137361548,1784
932,139878464,1133
933,137673071,333
934,139697150,974
935,139826204,873
936,139966199,1710
937,139862801,704
938,139951547,843
939,136964273,921
940,138139100,646
941,139714865,676
942,138569651,682
943,138169709,
944,137942084,616
945,134382740,534
946,138196319,1350
947,137084549,1349
948,132760748,784
949,139584284,105.5
950,139580294,634
951,139961132,500
952,139584188,791
953,138530159,683
954,132031640,1172
955,134697857,597
956,139709987,791
957,139743773,742
958,139645508,771
959,139809008,745
960,139630391,642
961,134812151,638
962,139850933,1618
963,136569509,521
964,134177177,908
965,139851302,2170
966,139567601,886.8
967,139610576,861
968,139845113,1492
969,135775022,589
970,138316862,682
971,139660973,909
972,132201971,740
973,139562444,
974,138988091,1435
975,139913780,790
976,139911494,805
977,133696703,902
978,131489618,
979,139566290,379
980,130859327,1439
981,139361222,726
982,138661478,650
983,138316925,1004
984,138478472,989
985,139588007,556.5
986,136537397,
987,139805831,
988,139276793,
989,139601114,
990,139682828,
991,137700920,
992,139823948,
993,139983809,
994,139529888,
995,137934494,
996,139865375,
997,139271264,
998,139537910,
999,140040839,
1000,139656512,
1001,140023826,
1002,138006320,
1003,139937468,
1004,137161283,
1005,127875962,
1006,139791341,
1007,139685606,
1008,136936196,
1009,139886180,
1010,139363187,
1011,138328871,
1012,123288368,
1013,86219940,
1014,137295050,
1015,139504259,
1016,133734575,
1017,139266731,
1018,139443032,
1019,138081272,
1020,138758954,
1021,139808960,
1022,134235467,
1023,133864847,
1024,139301981,
1025,139647314,
1026,138160703,
1027,137673758,
1028,125128766,
1029,137685776,
1030,137822726,
1031,139698476,
1032,133564472,
1033,134570690,
1034,135493844,
1035,138375917,
1036,138707114,
1037,134091491,
1038,139702484,
1039,138209234,
1040,139472204,
1041,139709987,
1042,139837715,
1043,138578939,
1044,139654964,
1045,139265042,
1046,138360470,
1047,139588871,
1048,139972580,
1049,139852790,
1050,138140180,
1051,139565081,
1052,139934363,
1053,139737770,
1054,132260177,
1055,140028641,
1056,139516793,
1057,138309110,
1058,139244117,
1059,136882349,
1060,138087956,
1061,137644970,
1062,139922399,
1063,133696703,
1064,134952749,
